MSA,YEAR,MONTH,TOTAL_PASSENGERS
Washington DC,2024,7,3742589
Washington DC,2024,8,3503396
Washington DC,2024,9,3164253
Washington DC,2024,10,3385833
Washington DC,2024,11,3113190
Washington DC,2024,12,3327574
Washington DC,2025,1,2543883
Washington DC,2025,2,2375524
Washington DC,2025,3,3081139
Washington DC,2025,4,3313750
Washington DC,2025,5,3574915
Washington DC,2025,6,3637229
Washington DC,2025,7,3610934
Washington DC,2025,8,3464240
Washington DC,2025,9,3107080
Washington DC,2025,10,3362795
Washington DC,2025,11,2918117
Washington DC,2025,12,3218204
